student_id,week,year,current_cgpa,assignment_score,attendance_rate,assignments_on_time,assignments_late,assignments_missing,hours_before_deadline,lms_logins,days_since_last_lms_login,library_visits,library_study_hours,campus_activities,peer_interactions,stress_level,burnout_status,burnout_severity,sleep_hours,sleep_quality
1,1,2025,7,68,67.34,4,0,0,32.1,22,10,7,8.34,2,1,8,0,3,8.16,2
1,2,2025,7,99,67.34,3,1,1,0.51,24,0,9,1.17,3,15,3,0,3,5.91,4
1,3,2025,7,96,61.86,2,2,0,32.44,17,3,8,24.14,1,8,10,1,8,4.49,4
1,4,2025,7,67,77.61,3,0,1,2.48,13,0,3,4.56,3,1,6,1,6,5.04,4
1,5,2025,7,93,61.25,1,1,1,67.64,29,3,7,14.26,3,7,5,0,5,5.94,2
1,6,2025,7,86,93.15,1,0,1,43.71,12,8,0,0.39,0,0,8,1,8,4.03,3
1,7,2025,7,90,88.27,2,2,0,43.63,9,6,9,2.9,0,7,2,0,3,4.48,5
1,8,2025,7,74,83.65,2,2,0,27.57,14,13,2,19.02,1,13,7,1,7,4.2,2
1,9,2025,7,81,77.57,2,2,1,45.82,19,12,3,22.69,4,14,4,0,1,8.71,3
1,10,2025,7,90,66.45,1,1,0,21.29,20,5,3,22.31,2,6,1,0,2,5.36,3
1,11,2025,7,96,92.72,0,2,0,11.86,26,8,4,17.31,1,11,8,0,3,8.71,1
1,12,2025,7,91,74.55,0,1,1,17.78,6,1,2,7.52,0,16,1,0,0,8.88,4
2,1,2025,5.71,76,73.8,0,2,1,10.43,11,9,5,6.05,3,10,8,1,7,5.19,5
2,2,2025,5.71,91,99.34,2,2,1,57.48,8,11,5,17.4,2,19,4,1,6,4.08,3
2,3,2025,5.71,58,73.95,3,0,0,28.63,6,1,7,3.44,3,17,7,0,4,6.71,2
2,4,2025,5.71,74,69.14,1,0,1,38.13,1,0,4,22.51,2,8,9,1,7,5.75,3
2,5,2025,5.71,59,95.48,0,2,0,11.64,5,7,3,14.52,5,2,9,1,8,4.03,2
2,6,2025,5.71,41,87.68,4,0,1,51.28,0,13,4,4.47,2,16,1,0,1,6.71,3
2,7,2025,5.71,90,85.45,4,2,1,65.24,26,1,4,12.57,3,14,1,0,3,4.98,5
2,8,2025,5.71,87,71.23,2,0,1,12.75,27,13,4,22.09,3,8,5,0,2,8.64,1
2,9,2025,5.71,85,98.67,2,0,1,21.2,20,6,0,7.92,1,9,6,0,4,7.48,2
2,10,2025,5.71,71,86.85,1,2,0,21.26,25,0,7,17.43,2,15,7,0,5,5.47,2
2,11,2025,5.71,74,70.25,4,1,0,36.11,12,3,0,1.77,5,15,3,0,3,5.69,4
2,12,2025,5.71,73,63.76,2,0,1,39.07,28,5,9,21.51,0,19,10,0,5,8.11,3
3,1,2025,6.01,72,93.11,3,0,0,6.15,12,3,2,15.94,3,15,2,0,1,6.58,3
3,2,2025,6.01,56,75.95,2,1,0,18.06,25,4,6,10.71,3,0,10,0,4,8.58,2
3,3,2025,6.01,71,81.97,0,0,0,45.96,28,6,4,15.29,2,11,10,1,7,5.78,5
3,4,2025,6.01,61,60.58,3,0,0,2.93,13,13,3,4.38,1,15,5,0,3,6.37,1
3,5,2025,6.01,69,85.99,1,1,1,45.73,1,3,9,15.65,1,0,8,0,5,7.29,4
3,6,2025,6.01,55,62.82,1,0,1,42.18,26,3,7,16.93,2,0,1,0,0,8.06,3
3,7,2025,6.01,76,85.04,0,0,1,65.19,11,12,1,0.97,1,2,7,1,7,4.36,5
3,8,2025,6.01,65,87.26,1,2,0,35.71,25,4,1,15.72,4,3,9,0,4,8.02,1
3,9,2025,6.01,75,67.1,0,2,0,52.68,3,1,0,19.41,5,4,1,0,0,7.4,1
3,10,2025,6.01,74,64.12,0,0,1,35.75,24,5,2,9.73,3,8,3,0,5,4.46,4
3,11,2025,6.01,53,87.07,3,2,1,45.49,20,4,2,15.06,3,3,5,0,3,7.96,1
3,12,2025,6.01,78,63.65,1,1,0,71.71,25,4,2,22.19,2,10,2,0,0,8.84,1
4,1,2025,8.55,83,94.67,4,1,0,59.17,25,1,4,12.83,5,18,8,0,5,5.87,1
4,2,2025,8.55,61,92.51,0,0,1,25.22,27,14,2,19.43,5,6,10,0,5,8.53,3
4,3,2025,8.55,84,60.45,3,1,1,53.35,7,12,8,18.61,2,12,9,1,7,5.87,1
4,4,2025,8.55,64,94.74,4,1,1,0.88,12,12,4,1.09,4,10,5,0,5,5.26,3
4,5,2025,8.55,59,63.02,0,0,1,21.2,0,4,5,14.61,0,10,10,0,5,8.75,4
4,6,2025,8.55,63,84.81,1,1,1,25.44,17,11,4,24.36,2,16,9,1,7,5.55,4
4,7,2025,8.55,52,87.39,4,0,1,5.49,5,1,2,18.14,0,1,10,0,5,8.66,2
4,8,2025,8.55,98,61.81,0,1,0,34.59,14,0,4,18.74,0,16,1,0,1,6.34,3
4,9,2025,8.55,40,60.55,3,0,0,71.98,5,2,4,14.63,4,4,10,0,4,8.25,1
4,10,2025,8.55,60,78.02,0,2,0,43.64,29,0,0,18.92,1,7,7,0,3,7.36,2
4,11,2025,8.55,93,90.89,2,1,1,58.78,11,4,8,14.75,4,13,2,0,1,8.03,4
4,12,2025,8.55,73,74.02,1,1,1,39.95,18,14,1,8.71,5,0,8,0,4,8.55,2
5,1,2025,8.95,44,91.86,1,0,1,55.36,19,7,4,24.5,4,1,3,0,3,6.69,3
5,2,2025,8.95,93,87.91,3,0,0,62.95,26,12,1,15.05,2,18,5,0,5,4.84,4
5,3,2025,8.95,81,67.08,4,1,0,38.48,11,9,1,3.22,1,12,9,1,7,4.46,1
5,4,2025,8.95,61,63.27,2,2,1,4.4,25,3,0,2.11,2,19,8,1,6,6.42,2
5,5,2025,8.95,67,74.76,1,0,1,2.64,23,2,6,17.18,5,10,2,0,2,6.24,3
5,6,2025,8.95,90,69.7,0,2,0,13.12,6,8,0,5.29,1,11,9,0,3,8.45,4
5,7,2025,8.95,64,87.16,2,0,0,34.53,3,14,5,14.67,0,11,3,0,2,5.89,5
5,8,2025,8.95,45,95.99,1,2,1,35.87,5,4,8,5.93,5,5,6,1,6,5.23,4
5,9,2025,8.95,69,67.46,0,2,0,37.76,7,4,3,24.93,5,1,4,0,0,8.85,4
5,10,2025,8.95,54,92.68,0,1,1,52.05,29,8,1,13.92,1,18,5,1,6,4.94,4
5,11,2025,8.95,58,67.98,3,0,1,8.27,25,13,5,14.53,2,3,3,0,5,4.26,2
5,12,2025,8.95,95,65.38,1,1,0,49.29,19,0,4,0.07,0,10,8,0,4,7.03,3
6,1,2025,6.9,88,94.03,3,1,1,67.17,10,8,1,4.53,2,0,8,0,5,7.61,4
6,2,2025,6.9,68,65.59,0,0,1,57.57,2,4,4,20.36,2,13,10,0,5,8.54,1
6,3,2025,6.9,84,83.53,1,2,1,27.14,18,12,5,13.49,0,16,1,0,2,5.96,2
6,4,2025,6.9,53,62.66,2,2,0,31.07,2,6,2,8.37,3,14,1,0,0,6.67,3
6,5,2025,6.9,75,99.91,0,0,0,17.89,22,0,3,14.25,1,4,10,1,7,5.71,5
6,6,2025,6.9,70,75.15,4,2,0,38.87,28,14,3,18.06,1,18,3,0,1,6.83,2
6,7,2025,6.9,82,83.96,3,2,1,65.41,5,5,7,10.59,1,13,10,1,7,6.93,2
6,8,2025,6.9,64,70.24,3,2,1,7.36,15,3,4,23.06,1,16,10,1,9,4.34,3
6,9,2025,6.9,68,64.17,0,1,0,32.46,13,4,4,4.14,3,0,6,0,4,6.59,5
6,10,2025,6.9,86,62.19,0,1,1,56.72,25,8,2,9.95,0,10,6,0,5,5.73,2
6,11,2025,6.9,66,89.5,0,2,0,32.58,18,5,7,14.44,3,5,5,0,1,8.57,1
6,12,2025,6.9,68,83.22,1,1,0,37.09,16,3,8,3.72,5,7,1,0,2,5.5,5
7,1,2025,7.09,90,68.4,2,1,1,33.71,16,12,7,14.69,0,13,3,0,3,6.27,2
7,2,2025,7.09,93,77.63,1,1,1,55.11,3,0,7,21.54,2,9,10,0,5,8.49,2
7,3,2025,7.09,99,92.03,3,1,0,47.44,0,8,6,6.35,2,7,6,0,4,5.7,5
7,4,2025,7.09,42,95.5,3,2,1,7.16,23,13,7,20.17,3,19,5,1,6,4.71,2
7,5,2025,7.09,46,85.33,0,2,0,1.91,28,2,3,16.07,1,1,1,0,0,8.09,4
7,6,2025,7.09,50,70.38,1,2,0,2.46,19,4,4,10.24,5,8,2,0,0,8.31,3
7,7,2025,7.09,91,98.98,3,0,1,40.74,26,13,6,20,0,17,3,0,3,6.56,1
7,8,2025,7.09,79,87.95,0,2,0,10.03,10,13,3,3.31,4,12,2,0,2,5.36,3
7,9,2025,7.09,45,96.57,4,1,1,35.86,1,0,4,16.29,1,11,7,1,7,4.53,5
7,10,2025,7.09,66,96,2,1,1,45.58,20,6,9,22.86,1,13,2,0,4,4.83,3
7,11,2025,7.09,40,63.31,3,2,1,4.91,10,7,3,17.98,2,1,7,0,4,7.32,5
7,12,2025,7.09,95,68.6,3,2,1,11.66,19,10,0,12.41,4,10,2,0,2,7.12,2
8,1,2025,5.93,48,74.06,0,0,0,49.56,9,8,6,1.9,1,4,3,0,3,5.36,2
8,2,2025,5.93,51,74.44,3,2,0,69.27,16,9,8,11.15,3,15,8,0,4,7.79,5
8,3,2025,5.93,56,86.35,0,1,0,46.56,26,9,8,23.6,1,15,7,0,2,9,2
8,4,2025,5.93,60,78.93,4,2,0,13.87,7,1,6,19.88,5,19,7,0,4,6.28,3
8,5,2025,5.93,81,85.78,2,0,1,63.72,10,7,9,18.12,3,6,8,1,6,6.7,5
8,6,2025,5.93,61,72.75,1,0,1,30.73,11,13,1,0.61,1,1,7,1,7,4.93,2
8,7,2025,5.93,71,97.3,2,2,1,25.25,29,0,4,11.99,3,14,9,0,5,7.84,1
8,8,2025,5.93,78,80.9,0,1,0,7.95,13,7,1,7.41,5,4,9,1,7,5.39,5
8,9,2025,5.93,85,61.8,0,0,1,8.96,26,9,4,19.66,2,5,7,0,3,8.4,3
8,10,2025,5.93,52,99.57,3,2,1,67.88,21,4,2,12.82,1,10,2,0,3,5.92,1
8,11,2025,5.93,88,98.29,4,0,1,69.78,16,8,2,14.93,0,9,3,0,2,7.79,1
8,12,2025,5.93,63,95.9,2,1,0,16.11,14,8,8,22.37,4,1,9,1,6,5.96,3
9,1,2025,6.02,48,61.78,1,1,0,23.69,24,4,1,10.21,5,7,5,0,5,4.24,2
9,2,2025,6.02,45,98.48,4,0,0,61.29,7,12,2,20.62,1,7,1,0,0,8.39,3
9,3,2025,6.02,55,86.34,0,2,0,11.55,12,10,8,23.25,3,5,7,0,2,8.41,5
9,4,2025,6.02,97,78.62,1,1,1,24.13,29,6,1,20.45,5,12,7,1,7,4.97,5
9,5,2025,6.02,85,73.06,0,0,1,18.71,27,7,2,3.21,2,6,10,1,7,6.16,2
9,6,2025,6.02,67,85.3,4,0,1,67.48,3,1,3,7.52,0,11,6,0,4,7.54,1
9,7,2025,6.02,61,84.84,2,1,1,71.29,14,12,3,16.19,3,11,7,1,7,4.33,1
9,8,2025,6.02,45,74.87,2,2,1,0.07,1,13,1,24.93,0,2,9,1,8,4.82,5
9,9,2025,6.02,68,71.93,1,2,1,16.56,10,10,2,23.77,3,14,5,0,3,7.19,3
9,10,2025,6.02,96,77.69,2,0,1,64.38,14,1,2,0.78,0,11,2,0,0,8.32,3
9,11,2025,6.02,47,66.37,0,0,0,55.91,14,10,1,19.03,2,11,5,0,1,8.56,2
9,12,2025,6.02,42,67.42,0,1,1,43.08,29,11,3,10.76,5,15,9,1,8,4.8,5
10,1,2025,6.58,63,77.33,4,0,1,33.45,29,1,5,7.29,4,0,6,0,3,8.54,3
10,2,2025,6.58,61,89.97,0,0,1,71.04,14,5,5,5.26,0,9,8,1,8,4.05,4
10,3,2025,6.58,72,80.71,0,0,0,5.94,12,3,9,9.92,1,5,7,1,6,5,2
10,4,2025,6.58,89,92.86,1,2,1,7.53,10,12,2,22.41,0,5,9,1,9,4.26,1
10,5,2025,6.58,89,97.41,1,1,1,24.44,26,14,6,16.52,3,5,10,1,6,7.92,3
10,6,2025,6.58,80,66.56,2,1,1,42.72,11,12,8,21.79,1,18,7,0,5,6.35,5
10,7,2025,6.58,47,94.87,4,2,1,35.87,17,5,1,16.33,4,8,3,0,5,4.41,3
10,8,2025,6.58,74,68.82,0,2,1,12.54,20,14,9,18.57,3,4,4,0,2,7.68,4
10,9,2025,6.58,99,61.6,0,2,1,42.34,25,4,1,12.17,1,14,2,0,1,7.96,2
10,10,2025,6.58,90,83.69,4,2,0,33.54,20,14,0,3.29,3,15,7,0,4,7.16,2
10,11,2025,6.58,94,76.52,4,0,1,7.01,28,14,7,14.49,3,1,7,1,7,4.82,3
10,12,2025,6.58,64,98.78,1,2,0,0.65,0,7,7,9.92,2,9,3,0,2,6.21,2
11,1,2025,7.3,51,93.16,0,0,1,42.33,11,0,8,4.18,3,10,5,0,5,5.78,4
11,2,2025,7.3,76,91.27,3,2,0,40.19,26,12,3,6.74,1,8,5,0,1,8.68,5
